DATAFLOW,SEXP: Sex,PCHAR: Selected person characteristic,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3933: 3933,POA: Postal Areas,2: Victoria,2021,1004
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5493: 5493,POA: Postal Areas,4: South Australia,2021,67
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6635: 6635,POA: Postal Areas,5: Western Australia,2021,379
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2312: 2312,POA: Postal Areas,1: New South Wales,2021,1500
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3720: 3720,POA: Postal Areas,2: Victoria,2021,666
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2353: 2353,POA: Postal Areas,1: New South Wales,2021,1201
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3055: 3055,POA: Postal Areas,2: Victoria,2021,14746
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5155: 5155,POA: Postal Areas,4: South Australia,2021,3994
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2114: 2114,POA: Postal Areas,1: New South Wales,2021,25267
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2210: 2210,POA: Postal Areas,1: New South Wales,2021,33262
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5014: 5014,POA: Postal Areas,4: South Australia,2021,12539
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6320: 6320,POA: Postal Areas,5: Western Australia,2021,554
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2287: 2287,POA: Postal Areas,1: New South Wales,2021,40845
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3644: 3644,POA: Postal Areas,2: Victoria,2021,9390
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4819: 4819,POA: Postal Areas,3: Queensland,2021,2475
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3271: 3271,POA: Postal Areas,2: Victoria,2021,188
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3871: 3871,POA: Postal Areas,2: Victoria,2021,3039
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2022: 2022,POA: Postal Areas,1: New South Wales,2021,13509
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3428: 3428,POA: Postal Areas,2: Victoria,2021,668
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2234: 2234,POA: Postal Areas,1: New South Wales,2021,30648
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2624: 2624,POA: Postal Areas,1: New South Wales,2021,162
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5204: 5204,POA: Postal Areas,4: South Australia,2021,3373
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6710: 6710,POA: Postal Areas,5: Western Australia,2021,940
