,Postcode,State,Latitude,Longitude,Remoteness Area
583,2776,ACT,-33.666855,150.553111,2
584,2777,ACT,-33.692534,150.587962,2
585,2778,ACT,-33.728545,150.484549,2
586,2779,ACT,-33.7237,150.45933,2
587,2780,ACT,-33.832923,150.435639,2
588,2782,ACT,-33.704416,150.366015,2
589,2783,ACT,-33.725566,150.431839,2
590,2784,ACT,-33.729916,150.407048,2
591,2785,ACT,-33.707725,150.181517,2
592,2786,ACT,-33.533055,150.317795,2
593,2787,ACT,-34.06024,150.153221,2
594,2790,ACT,-33.310653,150.356874,2
595,2791,ACT,-33.634941,149.164475,2
596,2792,ACT,-33.626627,149.08632,2
597,2793,ACT,-33.783955,148.90873,2
598,2794,ACT,-33.898505,148.664838,2
599,2795,ACT,-33.820797,149.474401,2
600,2797,ACT,-33.605124,148.952525,2
601,2798,ACT,-33.462193,149.158755,3
602,2799,ACT,-33.571335,149.267666,3
603,2800,ACT,-33.233929,149.116263,3
604,2803,ACT,-34.176731,148.523704,2
605,2804,ACT,-33.539564,148.633991,3
606,2805,ACT,-33.64991,148.420031,3
607,2806,ACT,-33.375562,148.375577,3
608,2807,ACT,-34.036494,148.562165,3
609,2808,ACT,-33.976987,149.02317,2
610,2809,ACT,-33.972859,148.432316,3
611,2810,ACT,-33.902869,148.054607,2
612,2817,ACT,-31.3306,148.7629,2
613,2818,ACT,-32.5009,148.6686,3
614,2820,ACT,-32.553282,148.989227,2
615,2821,ACT,-32.255249,148.110385,3
616,2822,ACT,-31.8948,148.558,3
617,2823,ACT,-32.07687,147.838499,2
618,2824,ACT,-31.373201,147.785831,3
619,2825,ACT,-31.92717863,146.5079936,2
620,2826,ACT,-32.0288,147.4794,2
621,2827,ACT,-31.63315,148.648353,2
622,2828,ACT,-31.42558954,148.4918433,2
623,2829,ACT,-30.63014904,148.4543715,3
624,2830,ACT,-32.24224,148.657282,3
625,2831,ACT,-31.927892,146.615174,2
626,2832,ACT,-29.958521,147.983033,3
