,Dwelling Type,Dwelling Type,Dwelling Type,Dwelling Type,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition
,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household
Postcode,,,,,,,,,,,,,,,,,
2296,1173,551,166,21,62,227,864,856,153,29,0,528,369,215,38,777,270
2297,1492,97,72,0,0,98,416,721,161,35,7,412,348,188,13,357,133
2298,7247,964,688,31,101,850,2570,3940,934,200,112,2131,1684,1073,150,2996,856
2299,8358,1589,1052,12,75,878,2906,4103,1542,440,151,2269,2452,1316,169,3271,857
2300,1925,3170,5768,50,266,3232,6465,4724,1098,276,99,4641,2010,1041,161,6787,1722
2302,8,23,1197,19,39,524,1146,465,4,0,14,668,203,82,20,1094,162
2303,6275,1439,1086,48,176,1032,2834,3478,1378,290,68,2126,1936,882,131,3636,753
2304,11726,1933,563,114,83,1412,4263,6358,1656,284,97,3394,2935,1679,226,5144,1079
2305,10904,972,547,19,19,594,2812,4476,2258,614,80,2515,3336,1323,126,3241,425
2306,2436,473,130,7,31,419,604,1601,204,11,6,437,405,765,64,1207,112
2307,3210,1034,61,0,33,208,1280,2129,442,104,46,1186,794,518,75,1328,384
2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311,818,6,9,25,4,41,87,340,166,36,8,252,203,70,8,182,10
